Config,user jhipster,user mvn,sys jhipster,sys mvn,jhipster,mvn,total,total origin,ratio
config0-10 ,"41,472","135,9","7,396","6,228","48,868","142,128","190,996","172,472","1,1074029408"
config0-11 ,"39,136","130,92","6,836","6,228","45,972","137,148","183,12","172,472","1,0617375574"
config0-12 ,"39,68","131,564","7,3","6,772","46,98","138,336","185,316","172,472","1,0744700589"
config0-20 ,"43,072","127,66","7,204","5,1","50,276","132,76","183,036","172,472","1,0612505218"
config0-22 ,"43,66","130,956","7,94","5,236","51,6","136,192","187,792","172,472","1,0888260123"
config0-28 ,"42,112","125,94","7,592","5,084","49,704","131,024","180,728","172,472","1,0478686395"
config0-35 ,"40,548","131,872","7,676","5,064","48,224","136,936","185,16","172,472","1,0735655643"
config0-37 ,"40,528","130,36","7,356","5,22","47,884","135,58","183,464","172,472","1,063732084"
config0-41 ,"39,32","117,16","6,828","4,756","46,148","121,916","168,064","172,472","0,9744422283"
config0-58 ,"37,916","124,216","6,824","5,12","44,74","129,336","174,076","172,472","1,0093000603"
config0-71 ,"39,328","125,748","6,656","5,224","45,984","130,972","176,956","172,472","1,0259984229"
config0-72 ,"37,856","127,696","6,964","5,376","44,82","133,072","177,892","172,472","1,0314253908"
config0-78 ,"37,348","122,792","6,368","5,676","43,716","128,468","172,184","172,472","0,9983301637"
config0-86 ,"40,432","120,908","6,984","5,284","47,416","126,192","173,608","172,472","1,0065865764"
config0-89 ,"39,62","127,952","7,268","5,472","46,888","133,424","180,312","172,472","1,0454566538"
config0-93 ,"39,572","127,404","6,868","5,592","46,44","132,996","179,436","172,472","1,0403775685"
config0-98 ,"39,856","127,224","6,9","5,328","46,756","132,552","179,308","172,472","1,0396354191"
config0-99 ,"40,416","121,664","7,104","5,6","47,52","127,264","174,784","165,124","1,0585014898"
config-1 ,"40,364","127,596","7,18","4,864","47,544","132,46","180,004","165,124","1,0901140961"
config-14 ,40,"129,492","6,984","6,636","46,984","136,128","183,112","165,124","1,1089363145"
config-16 ,"40,528","129,592","7,184","5,244","47,712","134,836","182,548","263,224","0,6935081907"
config2-15 ,"45,024","233,48","8,544","8,696","53,568","242,176","295,744","263,224","1,1235449655"
config2-19 ,"43,768","232,16",8,"6,972","51,768","239,132","290,9","263,224","1,1051423882"
config2-36 ,"44,22","239,056","7,696","7,612","51,916","246,668","298,584","263,224","1,1343342552"
config2-42 ,"40,948","225,636","7,4","7,66","48,348","233,296","281,644","263,224","1,0699784214"
config2-47 ,"42,324","223,856","7,44","7,144","49,764",231,"280,764","263,224","1,0666352612"
config2-62 ,"42,148","218,488","7,44","7,144","49,588","225,632","275,22","263,224","1,045573352"
config2-68 ,"43,088","213,248","7,292","7,544","50,38","220,792","271,172","263,224","1,0301948151"
config2-75 ,"41,724","223,152","7,064","7,6","48,788","230,752","279,54","263,224","1,0619852293"
config2-91 ,"43,684","216,516","7,404","8,1","51,088","224,616","275,704","263,224","1,0474120901"
config2-92 ,"43,512","227,108","7,404","7,264","50,916","234,372","285,288","247,112","1,1544886529"
config3-18 ,"43,996","210,476","7,876","6,6","51,872","217,076","268,948","247,112","1,0883647901"
config3-21 ,"41,604","217,684","7,496","6,376","49,1","224,06","273,16","247,112","1,1054096928"
config3-23 ,"42,672","220,472","7,484","7,524","50,156","227,996","278,152","247,112","1,125611059"
config3-24 ,"42,508","228,292","7,164","7,064","49,672","235,356","285,028","247,112","1,1534364984"
config3-25 ,"41,028","228,136","7,564","7,048","48,592","235,184","283,776","247,112","1,1483699699"
config3-3 ,"42,656","228,752","7,172","7,268","49,828","236,02","285,848","247,112","1,1567548318"
config3-30 ,"41,552","226,724","7,512","7,444","49,064","234,168","283,232","247,112","1,146168539"
config3-31 ,42,"221,288","8,088","7,564","50,088","228,852","278,94","247,112","1,1287998964"
config3-32 ,"40,98","215,112","7,324","7,412","48,304","222,524","270,828","247,112","1,0959726764"
config3-44 ,"39,796","215,248","7,048","6,628","46,844","221,876","268,72","247,112","1,0874421315"
config3-49 ,"40,272","211,2","7,02","6,588","47,292","217,788","265,08","247,112","1,0727119687"
config3-54 ,"38,956","210,344","7,028","7,2","45,984","217,544","263,528","247,112","1,0664314157"
config3-55 ,"39,368","214,824","7,312","6,804","46,68","221,628","268,308","247,112","1,0857748713"
config3-56 ,"40,588","209,036","6,928","6,544","47,516","215,58","263,096","247,112","1,0646832206"
config3-57 ,"39,088","201,232","6,776","7,18","45,864","208,412","254,276","247,112","1,0289909029"
config3-61 ,"41,292","205,096","7,18","7,48","48,472","212,576","261,048","247,112","1,0563954806"
config3-64 ,"41,74","207,38","7,072","6,452","48,812","213,832","262,644","247,112","1,0628540905"
config3-73 ,"41,604","214,708","7,188","7,552","48,792","222,26","271,052","247,112","1,0968791479"
config3-77 ,"38,604","210,84","6,976","7,248","45,58","218,088","263,668","247,112","1,0669979604"
config3-79 ,"40,344","204,772","6,612","7,424","46,956","212,196","259,152","165,124","1,5694387248"
config-38 ,"40,032","134,796","7,228","5,404","47,26","140,2","187,46","247,112","0,7586033863"
config3-8 ,"43,948","229,704","7,76","7,724","51,708","237,428","289,136","247,112","1,1700605394"
config3-83 ,"39,372","215,18","6,672","7,56","46,044","222,74","268,784","247,112","1,0877011234"
config3-84 ,"40,784","204,736","6,892","7,16","47,676","211,896","259,572","247,112","1,0504224805"
config3-88 ,"40,8","198,732","6,908","7,116","47,708","205,848","253,556","247,112","1,0260772443"
config3-9 ,"42,788","229,552","7,652","7,644","50,44","237,196","287,636","247,112","1,1639904173"
config3-90 ,"39,748","211,368","6,936","7,1","46,684","218,468","265,152","247,112","1,0730033345"
config3-95 ,"39,456","213,06","7,152","6,98","46,608","220,04","266,648","165,124","1,6148349119"
config-4 ,"39,212","134,78","6,864","5,94","46,076","140,72","186,796","264,716","0,7056468064"
config4-100 ,"38,04","226,632","6,828","7,196","44,868","233,828","278,696","264,716","1,0528113148"
config4-26 ,"41,376","237,532","6,996","7,156","48,372","244,688","293,06","264,716","1,1070732408"
config4-27 ,"42,86","244,992","7,564","7,164","50,424","252,156","302,58","264,716","1,1430363106"
config4-29 ,"40,5","236,672","7,336","7,1","47,836","243,772","291,608","264,716","1,1015881171"
config4-33 ,"40,144","240,064","6,92","7,14","47,064","247,204","294,268","264,716","1,1116366219"
config4-39 ,"41,124","249,184","7,44","7,788","48,564","256,972","305,536","264,716","1,1542029949"
config4-40 ,"42,732","226,368","7,416","6,652","50,148","233,02","283,168","264,716","1,0697048913"
config4-43 ,"39,012","229,7","7,096","6,976","46,108","236,676","282,784","264,716","1,0682542801"
config4-51 ,"38,292","223,888","6,624","6,736","44,916","230,624","275,54","264,716","1,0408891038"
config4-53 ,"38,548","222,724","6,952","6,696","45,5","229,42","274,92","264,716","1,0385469711"
config4-6 ,"40,384","250,724","7,344","8,164","47,728","258,888","306,616","264,716","1,158282839"
config4-67 ,"40,928","216,16","6,896","6,952","47,824","223,112","270,936","264,716","1,0234968797"
config4-69 ,"39,832","221,308","6,948","7,1","46,78","228,408","275,188","264,716","1,0395593768"
config4-7 ,"41,512","246,46","7,536","7,972","49,048","254,432","303,48","264,716","1,1464361807"
config4-70 ,"40,504","232,752","6,804","7,032","47,308","239,784","287,092","264,716","1,0845283247"
config4-80 ,"38,548","236,388","6,84","7,544","45,388","243,932","289,32","264,716","1,0929448919"
config4-85 ,"41,492","229,112","7,244","7,448","48,736","236,56","285,296","264,716","1,0777436951"
config4-87 ,"39,196","228,66","6,78","7,604","45,976","236,264","282,24","264,716","1,0661992475"
config4-96 ,"40,412","236,672","6,812","7,3","47,224","243,972","291,196","165,124","1,7634989462"
config-50 ,"38,816","125,368","6,604","4,992","45,42","130,36","175,78",270,"0,651037037"
config5-13 ,"37,52","34,616","6,772","5,868","44,292","40,484","84,776",270,"0,3139851852"
config5-17 ,"38,776","32,068","6,584","4,868","45,36","36,936","82,296",270,"0,3048"
config5-2 ,"39,672","36,564","6,48","5,896","46,152","42,46","88,612",270,"0,3281925926"
config5-34 ,"38,272","32,336","6,776","4,948","45,048","37,284","82,332",270,"0,3049333333"
config5-45 ,"37,48","29,956","6,372","4,692","43,852","34,648","78,5",270,"0,2907407407"
config5-46 ,"36,14","30,208","6,428","4,716","42,568","34,924","77,492",270,"0,2870074074"
config5-48 ,"36,928","236,608","6,772","6,608","43,7","243,216","286,916",270,"1,0626518519"
config5-5 ,"38,544","32,644","6,532","5,8","45,076","38,444","83,52",270,"0,3093333333"
config5-52 ,"36,964","30,172","6,148","4,832","43,112","35,004","78,116",270,"0,2893185185"
config5-65 ,"36,976","235,864","6,852","6,892","43,828","242,756","286,584",270,"1,0614222222"
config5-74 ,"38,484","232,892","6,584","6,792","45,068","239,684","284,752",270,"1,054637037"
config5-81 ,"38,244","239,1","6,388","7,32","44,632","246,42","291,052","165,124","1,7626268743"
config-59 ,"38,972","115,012","6,884","5,244","45,856","120,256","166,112",270,"0,6152296296"
config5-94 ,"36,24","228,74","6,508","7,04","42,748","235,78","278,528",270,"1,0315851852"
config5-97 ,"35,64","234,712","6,876","7,02","42,516","241,732","284,248","165,124","1,7214214772"
config-60 ,"38,152","126,38","7,1","5,264","45,252","131,644","176,896","165,124","1,0712918776"
config-63 ,"38,168","119,236","6,408","5,06","44,576","124,296","168,872","165,124","1,0226980936"
config-66 ,"38,836","122,056","6,896","5,264","45,732","127,32","173,052","165,124","1,0480124028"
config-76 ,"41,536","121,244","6,668","5,408","48,204","126,652","174,856","165,124","1,0589375257"
config-82 ,"41,932","120,436","6,744","5,32","48,676","125,756","174,432","165,124","1,0563697585"
